ID,Type,Price Area,Currency Type,Rate,Max Rate,Spot ID,Created At,Updated At,Deleted At
19625,1,2,1,260,,"22,536","February 1, 2024, 11:14 AM","February 1, 2024, 11:14 AM",
19626,1,2,2,30,,"22,537","February 1, 2024, 11:47 AM","February 1, 2024, 11:58 AM",
19627,1,2,2,29,,"22,538","February 1, 2024, 11:52 AM","February 1, 2024, 2:17 PM",
19628,1,2,2,29,,"22,539","February 1, 2024, 11:54 AM","February 1, 2024, 11:54 AM",
19629,1,1,2,29,,"22,540","February 1, 2024, 11:54 AM","February 1, 2024, 11:54 AM",
19630,1,2,2,28,,"22,541","February 1, 2024, 11:55 AM","February 1, 2024, 11:55 AM",
19631,1,2,1,"6,500","40,000","22,542","February 1, 2024, 12:24 PM","February 1, 2024, 12:24 PM",
19632,1,2,1,140,,"22,543","February 1, 2024, 12:29 PM","February 1, 2024, 12:29 PM",
19633,1,2,1,"10,500",,"22,544","February 1, 2024, 12:41 PM","February 1, 2024, 12:41 PM",
19634,2,2,1,"1,360,000",,"22,544","February 1, 2024, 12:41 PM","February 1, 2024, 12:41 PM",
19635,1,2,1,350,,"22,545","February 1, 2024, 12:47 PM","February 1, 2024, 12:47 PM",
19636,1,2,1,350,,"22,546","February 1, 2024, 12:51 PM","February 1, 2024, 12:51 PM",
19637,1,2,1,350,,"22,547","February 1, 2024, 12:51 PM","February 1, 2024, 12:51 PM",
19638,1,2,1,350,,"22,548","February 1, 2024, 12:52 PM","February 1, 2024, 12:52 PM",
19639,1,2,1,350,,"22,549","February 1, 2024, 12:54 PM","February 1, 2024, 12:54 PM",
19640,1,2,1,350,,"22,550","February 1, 2024, 12:58 PM","February 1, 2024, 12:58 PM",
19641,1,2,1,350,,"22,551","February 1, 2024, 1:08 PM","February 1, 2024, 1:08 PM",
19642,1,2,1,350,,"22,552","February 1, 2024, 1:16 PM","February 1, 2024, 1:16 PM",
19643,1,2,1,350,,"22,553","February 1, 2024, 1:22 PM","February 1, 2024, 1:22 PM",
19644,1,2,1,350,,"22,554","February 1, 2024, 1:25 PM","February 1, 2024, 1:25 PM",
19645,1,2,1,350,,"22,555","February 1, 2024, 1:25 PM","February 1, 2024, 1:25 PM",
19646,1,2,1,350,,"22,556","February 1, 2024, 1:26 PM","February 1, 2024, 1:26 PM",
19647,1,2,2,27,,"22,557","February 1, 2024, 1:36 PM","February 1, 2024, 1:36 PM",
19648,1,2,2,27,,"22,558","February 1, 2024, 1:38 PM","February 1, 2024, 1:38 PM",
19649,1,2,2,27,,"22,559","February 1, 2024, 1:39 PM","February 1, 2024, 1:39 PM",
19650,1,2,2,27,,"22,560","February 1, 2024, 1:40 PM","February 1, 2024, 1:40 PM",
19651,1,2,2,27,,"22,561","February 1, 2024, 1:41 PM","February 1, 2024, 1:41 PM",
19652,1,1,1,"30,000","32,000","22,562","February 1, 2024, 1:48 PM","April 11, 2024, 12:48 PM",
19653,1,2,2,25.5,,"22,563","February 1, 2024, 2:06 PM","February 27, 2024, 4:43 PM",
19654,1,2,2,25.5,,"22,564","February 1, 2024, 2:08 PM","February 13, 2024, 1:26 PM",
19655,1,2,2,26,,"22,565","February 1, 2024, 2:08 PM","February 1, 2024, 2:08 PM",
