ID,Parent ID,Is Complex,Square Space,Spot Type ID,Zip Code ID,Longitude,Updated At,Deleted At,User ID,Latitude,Created At,Zip Codes_ID,Zip Codes_State ID,Zip Codes_Municipality,Zip Codes_City
22536,,0,"5,134",9,"67,634",99.22268290° W,"March 19, 2024, 8:48 PM",,"8,524",19.46995870° N,"February 1, 2024, 11:14 AM",67634,15,Naucalpan de Juárez,Naucalpan de Juárez
22537,,1,"1,121",11,"29,150",99.18854240° W,"April 17, 2024, 11:24 PM",,"9,541",19.43216400° N,"February 1, 2024, 11:47 AM",29150,7,Miguel Hidalgo,Ciudad de México
22538,,1,"3,950",11,"29,150",99.18601160° W,"April 17, 2024, 11:24 PM",,"9,541",19.43194720° N,"February 1, 2024, 11:52 AM",29150,7,Miguel Hidalgo,Ciudad de México
22539,"22,538",0,"1,050",11,,,"April 17, 2024, 11:24 PM",,"9,541",,"February 1, 2024, 11:54 AM",,,,
22540,"22,538",0,"2,344",11,,,"April 17, 2024, 11:24 PM",,"9,541",,"February 1, 2024, 11:54 AM",,,,
22541,"22,538",0,572,11,,,"April 17, 2024, 11:24 PM",,"9,541",,"February 1, 2024, 11:55 AM",,,,
22542,,1,207,11,"40,832",101.63337223° W,"May 5, 2024, 10:00 AM",,"12,294",21.15025954° N,"February 1, 2024, 12:24 PM",40832,11,León,León de los Aldama
22543,"20,386",0,"2,070",9,,,"March 20, 2024, 12:40 PM",,"8,524",,"February 1, 2024, 12:29 PM",,,,
22544,,0,76,11,"41,470",101.59719432° W,"February 1, 2024, 12:42 PM","February 1, 2024, 12:56 PM","12,294",21.08246806° N,"February 1, 2024, 12:41 PM",41470,11,León,León de los Aldama
22545,,1,"1,706",11,"28,402",99.17166860° W,"March 19, 2024, 8:48 PM",,"10,118",19.39500720° N,"February 1, 2024, 12:47 PM",28402,7,Benito Juárez,Ciudad de México
22546,"22,545",0,653,11,,,"February 1, 2024, 12:51 PM",,"10,118",,"February 1, 2024, 12:51 PM",,,,
22547,"22,545",0,406,11,,,"February 1, 2024, 12:51 PM",,"10,118",,"February 1, 2024, 12:51 PM",,,,
22548,"22,545",0,459,11,,,"February 1, 2024, 12:52 PM",,"10,118",,"February 1, 2024, 12:52 PM",,,,
22549,"22,545",0,188,11,,,"February 1, 2024, 12:54 PM",,"10,118",,"February 1, 2024, 12:54 PM",,,,
